,datadate,turbulence
1028,2019-08-01,65.33149301179589
1029,2019-08-02,70.91171653656137
1030,2019-08-05,61.55030905699576
1031,2019-08-06,55.999094283983155
1032,2019-08-07,59.082698201961044
1033,2019-08-08,60.25518037715687
1034,2019-08-09,65.38596764405811
1035,2019-08-12,72.79701924601281
1036,2019-08-13,76.8974027559743
1037,2019-08-14,70.3184744526851
1038,2019-08-15,114.21752031089116
1039,2019-08-16,111.4505936523419
1040,2019-08-19,90.9879730048298
1041,2019-08-20,86.43203584642296
1042,2019-08-21,81.42746474297769
1043,2019-08-22,94.41173401477383
1044,2019-08-23,91.59994566162788
1045,2019-08-26,85.56283098091329
1046,2019-08-27,92.59049489356656
1047,2019-08-28,85.03205567971604
1048,2019-08-29,83.11288664208378
1049,2019-08-30,81.05194441949978
1050,2019-09-03,75.22705950149233
1051,2019-09-04,82.98869104610966
1052,2019-09-05,81.03504749854419
1053,2019-09-06,84.00440931510498
1054,2019-09-09,96.27332606515131
1055,2019-09-10,91.71089131241335
1056,2019-09-11,104.39289856441417
1057,2019-09-12,90.12318745295738
1058,2019-09-13,82.39529604084517
1059,2019-09-16,71.85310323508772
1060,2019-09-17,70.14234041929002
1061,2019-09-18,79.56790263695882
1062,2019-09-19,77.27915685268256
1063,2019-09-20,67.8816887978329
1064,2019-09-23,70.74878488322084
1065,2019-09-24,73.51302216614167
1066,2019-09-25,82.02936795980682
1067,2019-09-26,88.86081499211056
1068,2019-09-27,90.99298414725916
1069,2019-09-30,102.14401249214279
1070,2019-10-01,76.3665135976998
1071,2019-10-02,74.68744637029614
1072,2019-10-03,69.71613140876259
1073,2019-10-04,70.17168701198142
1074,2019-10-07,66.40361316887748
1075,2019-10-08,64.4122482778756
1076,2019-10-09,56.86000901208035
1077,2019-10-10,60.35645782261048
1078,2019-10-11,61.20913117983668
1079,2019-10-14,61.56102453180343
1080,2019-10-15,64.45724430929141
1081,2019-10-16,61.48999133920221
1082,2019-10-17,69.60123041758702
1083,2019-10-18,96.61936564314931
1084,2019-10-21,121.18104309555974
1085,2019-10-22,152.09342507195356
1086,2019-10-23,120.04618586168084
1087,2019-10-24,112.9718970218614
1088,2019-10-25,112.51210760289135
1089,2019-10-28,111.22351503860352
1090,2019-10-29,100.82797670010832
1091,2019-10-30,100.6224366206724
1092,2019-10-31,90.06612519576154
1093,2019-11-01,91.83054559029497
1094,2019-11-04,77.2681119509179
1095,2019-11-05,72.10932671292885
1096,2019-11-06,63.0927796260494
1097,2019-11-07,58.9518617997196
1098,2019-11-08,65.50808074829907
1099,2019-11-11,67.18525969812269
1100,2019-11-12,64.1505429751394
1101,2019-11-13,84.85900516938781
1102,2019-11-14,96.92519339157113
1103,2019-11-15,99.22831935658895
1104,2019-11-18,103.47087712722296
1105,2019-11-19,110.43591260799302
1106,2019-11-20,107.64093067929184
1107,2019-11-21,104.18407514125853
1108,2019-11-22,100.94236687405005
1109,2019-11-25,101.79080405412226
1110,2019-11-26,100.62191077481548
1111,2019-11-27,87.46652432773878
1112,2019-11-29,84.29950965921888
